"t","icu","deaths","cases_imported","cases_community","cases_dorms","logcases_imported","logcases_community","logcases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
90,17.3159276661826,0.187491134855458,1.68606528988123,21.3387732806543,20.9855489406961,40.1076732353168,482.225,447.325,100.425,2.68322156444735,2.65060991670221,2.00179355875062,182.79350401501,2.26196075802493,0.301029995663981,1.27875360095283,0.301029995663981
91,18.1580605924001,0.194814063994771,0.933424839177298,21.8525284310454,21.8279340980422,51.3763807644731,485.7,466.425,128,2.68633507343668,2.66877958047743,2.10720996964787,234.169884779483,2.36953104225191,0,1.21662622854904,0
92,18.9175320745104,0.204564808929457,0.429893327159107,22.1045531617892,23.9531913442016,65.807832632964,490.65,508.8,166.475,2.69072775267418,2.70653372194041,2.22134707001613,299.977717412447,2.47708899617225,-0.301029995663981,1.55630250076729,-0.301029995663981
93,19.5881709417168,0.216962807069469,0.119428727087758,22.1107495268039,29.6389208784206,84.2875709234852,493.125,537.375,213,2.69290696114965,2.73027277147705,2.32837960343874,384.265288335933,2.58463115530737,-0.301029995663981,1.37050745372225,-0.301029995663981
94,20.1668461369666,0.231820763687852,0,21.909905238198,41.3685506733019,107.947714629041,493.6,586.8,276.95,2.69331830700659,2.76848004466708,2.44239854614533,492.213002964974,2.69215308242925,-0.301029995663981,1.53065213950227,-0.301029995663981
95,20.6537442437136,0.248477321771708,0,21.5608647409196,61.3670944675613,138.234741086141,494.65,608.325,359,2.69425467219531,2.78412849721169,2.55509444857832,630.447744051115,2.79964909501575,-0.301029995663981,1.23044892137827,-0.301029995663981
96,21.0523616077941,0.265816914429327,0,21.1358803879258,91.1274269842111,176.995335606197,494.65,631.475,461.8,2.69425467219531,2.8003560257873,2.66443768637978,807.443079657312,2.90711191668483,-0.301029995663981,1.28933488844063,-0.301029995663981
97,21.3691534829977,0.282385869475036,0,20.7110228697393,131.024607552436,226.584759957932,494.65,651.9,598.65,2.69425467219531,2.81417894269153,2.77714339250852,1034.02783961524,3.01453223162883,-0.301029995663981,1.28933488844063,-0.301029995663981
98,21.6128389014958,0.296592939477258,0,20.3552642669255,180.103290003711,290.003044269283,495.175,661.425,779.85,2.69472141668378,2.82047949215175,2.892007871848,1324.03088388453,3.12189811542407,-0.301029995663981,1.01966152545016,-0.301029995663981
99,21.7934241330217,0.30696214348173,0,20.120255781084,236.09184113479,371.065153067783,495.7,676.425,1006.475,2.69518720765885,2.83021858532314,3.00280293839092,1695.09603695231,3.22919430851958,-0.301029995663981,1.25527250510331,-0.301029995663981
