"t","icu","deaths","cases_imported","cases_community","cases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
135,2.44802623239398,0.185555398220151,0,2.24917593355563,527.846287949978,8138.19289968633,511.975,1380.975,19257.85,2.7092487344548,3.1401858137742,4.28460779913566,118301.091156472,5.0729887503849
136,2.07482530366168,0.178559449396434,0.106950062543365,2.07625101549541,526.966406705371,8341.70366378955,512.95,1386,19824.9,2.71007495348739,3.14176323027579,4.2972110051281,126698.847586809,5.10277266469429
137,1.73065969891388,0.170857891548517,0.247879690914501,1.94080417900616,526.369513998692,8496.72065295475,512.975,1390.975,20408.725,2.71009618000842,3.1433193217486,4.30981587222443,135267.339767834,5.13119294906733
138,1.41624292622976,0.162534434800744,0.371281951704372,1.84048946027976,526.042302324425,8594.91958929912,513,1395,20982.95,2.71011736511182,3.14457420760962,4.32186654570923,143953.204171815,5.15822133603349
139,1.13198907277504,0.153693526896962,0.471827977817698,1.77240206237439,525.975307832696,8638.12977194546,513.975,1398,21554.925,2.71094197514819,3.14550717140966,4.33354651596963,152702.289008941,5.18384554718166
140,0.877999655501283,0.144456840681051,0.545486732127895,1.73317155817497,526.16389783291,8618.14212987902,513.975,1403,22138.975,2.71094197514819,3.14705767102836,4.34515750984045,161466.926030027,5.20808357730361
141,0.654055708404393,0.134959124786586,0.58966606459718,1.71906683648495,526.60843051728,8541.20373342095,514,1410.925,22727.9,2.71096311899528,3.14950390478064,4.35655930971214,170176.32294807,5.23089913544962
142,0.459615925913813,0.125343578623577,0.603281706532442,1.72610893764879,527.313596448028,8400.91148507822,514,1418.975,23306.9,2.71096311899528,3.15197474134221,4.36748451264286,178716.341979371,5.25216426650759
143,0.293821463017683,0.115756930836148,0.586753603191228,1.75018770974017,528.286996384383,8207.99268337964,514,1423.95,23875.975,2.71096311899528,3.15349472947816,4.37796111547054,187063.41361414,5.27198885519267
144,0.155507744145621,0.106344411320163,0.541932294322045,1.78717816025694,529.53705180811,7964.67389099083,515,1427.925,24447,2.71180722904119,3.15470537386277,4.3882255725237,195206.158528904,5.29049351493157
145,0.0432233653921977,0.0972448102086019,0.471961134156048,1.83305248122538,531.070381149341,7676.90377970933,515,1433.975,25036.9,2.71180722904119,3.15654157730842,4.39858055458543,203030.054529566,5.30756033123658
146,0,0.0885858128398595,0.381082868111672,1.88398398124157,532.88880458269,7352.220415777,515.975,1448,25604.875,2.71262863981256,3.16076856186113,4.40832265979895,210549.302023174,5.32335380605726
147,0,0.0804797878201373,0.274401341328308,1.93643955364451,534.986162033892,6990.61264236789,516,1451.975,26192,2.71264970162721,3.16195913626592,4.41816866206787,217679.272260094,5.33781707684378
148,0,0.0730201863808663,0.157610817666185,1.98725782806156,537.345141769774,6612.22056728884,516,1461,26783.825,2.71264970162721,3.1646502159343,4.42787259837008,224425.459984941,5.35107212398777
149,0,0.0662786861064127,0.0367064758714597,2.03371077027868,539.934320096304,6219.284630408,516.975,1466,27367,2.71346952205727,3.16613397030511,4.43722719219073,230823.722532903,5.36328044061706
150,0,0.0603031818075136,0,2.0735471867492,542.705606164707,5819.28498116469,517.975,1471.95,27934.95,2.71430877932895,3.16789304812015,4.44614789833798,236768.277097041,5.37432351390979
151,0,0.0551166920924941,0,2.10501732620263,545.592269999077,5419.68732885219,517.975,1474,28515.975,2.71430877932895,3.16849748352303,4.45508822528796,242286.016683223,5.38432834995031
152,0,0.0507172134462418,0,2.12687852162593,548.507707356315,5023.83516684306,517.975,1479.975,29093.95,2.71430877932895,3.17025437686001,4.46380268810917,247435.21311752,5.39346150521132
153,0,0.0470785158706148,0,2.13838255101441,551.345063016917,4637.30114851019,517.975,1483,29666.925,2.71430877932895,3.17114115102838,4.47227253363245,252181.503957205,5.40171323042185
154,0,0.0441518369062817,0,2.1392460855594,553.977796027039,4266.08782086997,517.975,1490.975,30246.95,2.71430877932895,3.17347035907698,4.48068158838843,256530.709946708,5.40913936306139
155,0,0.0418683956558797,0,2.12960621224514,556.26122796355,3910.11973563683,518,1494.975,30826.975,2.71432975974523,3.17463392778092,4.48893091021353,260523.00299589,5.41584607555543
156,0,0.0401426166796111,0,2.10996354061236,558.035070362165,3573.23311194419,518,1496.975,31411.975,2.71432975974523,3.17521454517269,4.49709524313101,264173.334979261,5.42188897884614
157,0,0.0388759266062447,0,2.08111581123749,559.126882017267,3256.98400512876,518.975,1496.975,32005.975,2.71514641789588,3.17521454517269,4.50523106166788,267487.258644498,5.42730309988183
158,0,0.0379609650639011,0,2.04408520184519,559.356362936235,2963.75908052441,519,1499,32589.6,2.71516735784846,3.17580163284828,4.5130790287545,270526.075909976,5.4322091329303
159,0.0187131114905511,0.0372860369079286,0,2.00004266709391,558.540351241815,2691.03992396425,519,1505.925,33157.875,2.71516735784846,3.17780332208274,4.52058668987169,273264.095180111,5.43658257245547
